Education,Locality,Savelugu Municipal
Never attended,Rural,185
Never attended,Urban,117
Nursery,Rural,0
Nursery,Urban,1
Kindergarten,Rural,0
Kindergarten,Urban,0
Primary,Rural,20
Primary,Urban,28
JSS/JHS,Rural,36
JSS/JHS,Urban,46
SSS/SHS,Rural,13
SSS/SHS,Urban,28
Secondary,Rural,1
Secondary,Urban,1
Voc/technical/commercial,Rural,0
Voc/technical/commercial,Urban,0
Post middle/secondary Certificate,Rural,0
Post middle/secondary Certificate,Urban,0
Post middle/secondary Diploma,Rural,0
Post middle/secondary Diploma,Urban,0
Tertiary/HND,Rural,0
Tertiary/HND,Urban,0
Tertiary - Bachelor's Degree,Rural,0
Tertiary - Bachelor's Degree,Urban,0
Other (specify),Rural,0
Other (specify),Urban,0
